Sample in Buffer,Sample in Window,TRIGGER,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/iTrigOrigin[1:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_1,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_2,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_3,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_4,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_5,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_6,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_7,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_8,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_9,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_10,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_11,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/rTrigVector[1:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_12,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_13,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_14,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_15,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_16,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_17,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_18,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_19,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_20,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_21,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_22,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_23,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_24,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_25,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/rTrigToggle[31:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/rCAP_cur_state[3:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/rStateToFINISHIntr,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/oTrigVectorPending[1:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_26,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_27,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_28,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_29,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_30,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_31,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_32,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_33,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_34,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_35,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_36,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_37,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_38,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/iTrigDMAStart[0:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/iTrigDMAPosition[31:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/iTrigDMAStartAddr[31:0]
19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
